title,count,author,sources,original_publication_year,genres
orlando,3,virginia woolf,"lists\modern-library-radcliffe.csv, lists\pan-macmillan-classics.csv, lists\penguin-classics.csv",1928,"['Classics', 'Fiction', 'Historical Fiction', 'Fantasy', 'LGBT', 'Feminism', 'Queer', 'Novels', 'Literature', 'British Literature']"
song of solomon,3,toni morrison,"lists\centerforfiction.csv, lists\guardian.csv, lists\modern-library-radcliffe.csv",1977,"['Fiction', 'Classics', 'Historical Fiction', 'African American', 'Literature', 'Novels', 'Magical Realism', 'School', 'Literary Fiction', 'American']"
tess of the d'urbervilles,3,thomas hardy,"lists\centerforfiction.csv, lists\library100.csv, lists\penguin-classics.csv",1891,"['Classics', 'Fiction', 'Romance', 'Literature', 'Historical Fiction', '19th Century', 'Victorian', 'Classic Literature', 'Novels', 'British Literature']"
the age of innocence,3,edith wharton,"lists\centerforfiction.csv, lists\modern-library-radcliffe.csv, lists\penguin-classics.csv",1920,"['Classics', 'Fiction', 'Historical Fiction', 'Romance', 'Literature', 'American', 'Historical', 'Novels', 'New York', 'Classic Literature']"
the jungle,3,upton sinclair,"lists\centerforfiction.csv, lists\library100.csv, lists\modern-library-radcliffe.csv",1906,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Politics', 'School', 'Novels', 'Historical', 'Classic Literature', 'American']"
the mill on the floss,3,george eliot,"lists\centerforfiction.csv, lists\harvard-classics-shelf-of-fiction.csv, lists\penguin-classics.csv",1860,"['Classics', 'Fiction', '19th Century', 'Literature', 'Victorian', 'British Literature', 'Historical Fiction', 'Novels', 'Classic Literature', 'English Literature']"
the portrait of a lady,3,henry james,"lists\guardian.csv, lists\harvard-classics-shelf-of-fiction.csv, lists\modern-library-radcliffe.csv",1881,"['Classics', 'Fiction', 'Literature', '19th Century', 'Novels', 'American', 'Historical Fiction', 'Classic Literature', 'Romance', 'Victorian']"
the scarlet letter,3,nathaniel hawthorne,"lists\guardian.csv, lists\harvard-classics-shelf-of-fiction.csv, lists\library100.csv",1850,"['Classics', 'Fiction', 'Historical Fiction', 'School', 'Literature', 'High School', 'Read For School', 'Historical', 'Classic Literature', 'American']"
the trial,3,franz kafka,"lists\centerforfiction.csv, lists\guardian.csv, lists\library100.csv",1925,"['Classics', 'Fiction', 'Literature', 'Philosophy', 'German Literature', 'Novels', 'Dystopia', '20th Century', 'Czech Literature', 'Literary Fiction']"
to the lighthouse,3,virginia woolf,"lists\centerforfiction.csv, lists\modern-library-radcliffe.csv, lists\penguin-classics.csv",1927,"['Classics', 'Fiction', 'Literature', 'Novels', 'British Literature', '20th Century', 'Feminism', 'Literary Fiction', 'School', 'Modern Classics']"
